Aggression	Text
Блять какой же годный тред. А ведь он только начался. Оп - добра тебе.	1
>>>84858947 Сука, охуенное видео же.	1
Пиздец. Надо было назвать тред засмеялся - проиграл, потому что я над каждым видео проигрываю просто а не испытываю стыд.	1
>>>84861398 Это пиздец.	1
>>>84859308 самое гавно	1
>>>84863054 Ничто так не портит музыку так, как ее фанаты. Блджад, а когда-то мне серъезно нравились кококоры, до появления этого злоебучего мэйнстрим-пехека и транскора.	1
>>>84861483 двачую парашу	1
>>>85610456 Очнулся, блять. Добро пожаловать в 2015.	1
Нихуя не понял, оп, хули ты хотел спросить то?	1
>>>85611707 Смотри. Хуйня под телефон у тебя есть, про ОКУЛУС порнушку ты наверняка слышал, ее уже масса. Вопрос в том как посмотреть ее без ОКУЛУСА, но вот с такой вод подставкой при помощи мобильника.	1
>>>85611707 Что ты делаешь с этой хуйней? Ощущения 3д есть? Где брал?	1
>>>85611764 Педики, ответьте мне, что это за штука такая?	1
>>>85612237 Это же картонка с линзами. >>>85612237 Блять, ну не уследил.	1
У этой хуйни линзы есть или ее можно самому в дом.условиях запилить?	1
>>>83915820 Смахивает на офисную или тюремную кухню. Чому так неуютно? Сплошной белый цвет, никакого декора. Микроволновка на холодильнике удобно разве? Люстру эту выкинь нахуй - не вписывается в интерьер совершенно.	1
>>>83916126 охуительная кухня! выеби меня и позволь в ней жить, господин	1
"Из би никого не пидорнуть как не старайся, потому что свободное общение и так и должно быть. Я бы запилил еще доску типа ""b уровня b"" с анальнейшим злым модератором. Доска будет бредом, т.е. без тематики, но с запретом создания большого списка раковых тредов. Прям в шапке треда накатать список большими красными вырвиглазными буквами. За создание какой-нибудь рулетки, еот, нытья, веб м и прочего говна сразу прилетает бан на неделю на доске. Доска должна постоянно пиарится в /b/ чтобы было не тухло, мне кажется много анонов перекатится. Но это мои влажные мечты."	1
>>>85582954 Ну, давай. Жду. Хотя, судя по фото на оп пике долбоёба с витчаута, считающего, что террористы и чёрная одежда как-то связаны с витчхаусом - ничего хорошего ты не можешь сделать. 	1
>>>85583256 Вечхаус больше доебал, а электроклэша годного сейчас мало.	1
>>>83915820 Смахивает на офисную или тюремную кухню. Чому так неуютно? Сплошной белый цвет, никакого декора. Микроволновка на холодильнике удобно разве? Люстру эту выкинь нахуй - не вписывается в интерьер совершенно.	1
>>>83916126 охуительная кухня! выеби меня и позволь в ней жить, господин	1
"Из би никого не пидорнуть как не старайся, потому что свободное общение и так и должно быть. Я бы запилил еще доску типа ""b уровня b"" с анальнейшим злым модератором. Доска будет бредом, т.е. без тематики, но с запретом создания большого списка раковых тредов. Прям в шапке треда накатать список большими красными вырвиглазными буквами. За создание какой-нибудь рулетки, еот, нытья, веб м и прочего говна сразу прилетает бан на неделю на доске. Доска должна постоянно пиарится в /b/ чтобы было не тухло, мне кажется много анонов перекатится. Но это мои влажные мечты."	1
классно, теперь сможешь Полину выебать	1
>>>85583256 Вечхаус больше доебал, а электроклэша годного сейчас мало.	1
>>>85584497 И если таки не пропиздишься и выложишь альбом - обязательно послушаю.	1
Ну ка поясни мне, че за бичхауз и чому я должен слушать его, а не бодрый handsup, и отплясывать с грудастыми девчонками в бункере под дэнскор. Я весь внимание.	1
>>>85587994 КАК ЖЕ Я ОБОСРАЛСЯ С МОДНЯФФКИ))))) ТАКАЯ ТИП))))))))) ЧЁРНАЯ))))))) ТИПО ПРОПЕРДЕЛА КОЛГОТКИ ТАКАЯ))))))))))))))УМНАЯ)	1
>>>85588781 Но я не говнодел, я сделал пару приличных треков, теперь пустился в декаданство.	1
>>>85589126 ЧТО ЗНАЧИТ ХУЕВЫЙ ТЫ МНЕ ОБЪЯСНИШЬ ?  ?  ?	1
>>>85589173 блят что ты хочешь от музла , который слушают 9+ дети у меня в подъезде?	1
>>>85591751 блядь, а как у бекхема?	1
>>>85591863 060СРАЛС9	1
>>>85595204 Лютый кал, честно. Нет души, рандомный набор звуков, фл первый раз открыл?	1
>>>85597255 Я короче на ноуте буду врубать треканы, а вы орать - это наш лайв-проект будет. Ток не жируха, плиз.	1
>>>85598792 быдло не осилило значки, как мило.  >>>85598792 ну хоть чем-то я тебе помог, и то ладно.	1
